        cell	          pH	          pe	          O2	           A	          A+	          A-	          cb	






  1.0000e+00	  6.9997e+00	  1.1178e+01	  4.2824e-11	  3.8259e-01	  3.8259e+00	  3.8259e+00	 -2.9369e-18	
  4.0000e+00	  6.9997e+00	  1.1206e+01	  5.5464e-11	  2.8356e-01	  2.8356e+00	  2.8356e+00	 -7.5634e-18	
  6.0000e+00	  6.9996e+00	  1.1218e+01	  6.1686e-11	  2.4023e-01	  2.4023e+00	  2.4023e+00	  2.1995e-18	
  8.0000e+00	  6.9996e+00	  1.1211e+01	  5.7870e-11	  2.6271e-01	  2.6271e+00	  2.6271e+00	 -3.3679e-18	
  2.0000e+00	  6.9997e+00	  1.1140e+01	  3.0149e-11	  6.3649e-02	  6.3649e-01	  6.3649e-01	 -8.9118e-19	
  5.0000e+00	  6.9997e+00	  1.1155e+01	  3.4485e-11	  4.7270e-02	  4.7270e-01	  4.7270e-01	 -6.7078e-19	









  1.0000e+00	  6.9997e+00	  1.1331e+01	  1.7511e-10	  2.5457e-01	  2.5457e+00	  2.5457e+00	  1.3842e-18	
  4.0000e+00	  6.9997e+00	  1.1338e+01	  1.8607e-10	  1.8363e-01	  1.8363e+00	  1.8363e+00	  1.0650e-18	
  6.0000e+00	  6.9997e+00	  1.1340e+01	  1.9065e-10	  1.5309e-01	  1.5309e+00	  1.5309e+00	  2.8058e-18	
  8.0000e+00	  6.9997e+00	  1.1338e+01	  1.8588e-10	  1.6864e-01	  1.6864e+00	  1.6864e+00	 -3.5390e-19	
  2.0000e+00	  6.9997e+00	  1.1249e+01	  8.1884e-11	  2.6726e-02	  2.6726e-01	  2.6726e-01	  1.2073e-19	
  5.0000e+00	  6.9998e+00	  1.1243e+01	  7.7579e-11	  1.9058e-02	  1.9058e-01	  1.9058e-01	 -2.2626e-19	
