        cell	          pH	          pe	          Na	          Ca	          Cl	          cb	






 1.0000e+000	 7.0114e+000	 1.1176e+001	 9.8494e-007	 2.7099e-004	 5.3758e-004	-6.1933e-019	
 4.0000e+000	 6.9752e+000	 1.1232e+001	 1.1029e-009	 2.1514e-004	 4.4164e-004	 1.4558e-022	
 6.0000e+000	 6.9565e+000	 1.1252e+001	 6.6599e-013	 1.8930e-004	 3.9857e-004	 3.1367e-021	
 8.0000e+000	 6.9667e+000	 1.1242e+001	 6.8014e-013	 2.0296e-004	 4.2119e-004	 3.6727e-022	
 2.0000e+000	 6.9722e+000	 1.1033e+001	 9.8965e-011	 4.9259e-005	 1.1122e-004	 1.1673e-020	
 5.0000e+000	 6.9489e+000	 1.1111e+001	 1.6922e-014	 3.5961e-005	 9.5438e-005	 6.0219e-022	






 1.0000e+000	 6.9998e+000	 1.1296e+001	 2.6838e-007	 1.2715e-004	 2.5455e-004	 5.2807e-021	
 4.0000e+000	 6.9998e+000	 1.1292e+001	 2.6900e-010	 9.1815e-005	 1.8361e-004	 3.4940e-021	
 6.0000e+000	 6.9998e+000	 1.1299e+001	 1.4424e-013	 7.6546e-005	 1.5307e-004	 3.2161e-021	
 8.0000e+000	 6.9998e+000	 1.1294e+001	 3.0264e-013	 8.4321e-005	 1.6862e-004	 3.9175e-021	
 2.0000e+000	 6.9998e+000	 1.1201e+001	 4.9926e-012	 1.3363e-005	 2.6723e-005	 4.0234e-020	
 5.0000e+000	 6.9998e+000	 1.1213e+001	 6.2153e-016	 9.5290e-006	 1.9056e-005	 4.7407e-020	
