     conc_Cl	       EC_20	           I	
 6.9724e-002	 7.3065e+003	 6.9724e-002	
 1.3983e-001	 1.4082e+004	 1.3983e-001	
 2.1173e-001	 2.0774e+004	 2.1173e-001	
 2.8404e-001	 2.7340e+004	 2.8404e-001	
 3.5818e-001	 3.3953e+004	 3.5818e-001	
 4.3131e-001	 3.9435e+004	 4.3131e-001	
 5.0630e-001	 4.4678e+004	 5.0630e-001	
 5.8318e-001	 4.9722e+004	 5.8318e-001	
 7.3684e-001	 5.8938e+004	 7.3684e-001	
 8.9529e-001	 6.7433e+004	 8.9529e-001	
 1.0572e+000	 7.5245e+004	 1.0572e+000	
 1.1404e+000	 7.8970e+004	 1.1404e+000	
 8.8884e-002	 7.7802e+003	 8.8884e-002	
 1.7992e-001	 1.5164e+004	 1.7992e-001	
 2.6954e-001	 2.2222e+004	 2.6954e-001	
 3.6134e-001	 2.9324e+004	 3.6134e-001	
 4.5533e-001	 3.5501e+004	 4.5533e-001	
 5.4972e-001	 4.1334e+004	 5.4972e-001	
 6.4452e-001	 4.6885e+004	 6.4452e-001	
 7.2139e-001	 5.1199e+004	 7.2139e-001	
 9.1659e-001	 6.1561e+004	 9.1659e-001	
 1.0967e+000	 7.0579e+004	 1.0967e+000	
 1.4671e+000	 8.8256e+004	 1.4671e+000	
 1.8110e+000	 1.0448e+005	 1.8110e+000	
 9.3483e-002	 7.6866e+003	 1.4022e-001	
 1.8941e-001	 1.4693e+004	 2.8411e-001	
 2.8570e-001	 2.1170e+004	 4.2855e-001	
 3.8236e-001	 2.6967e+004	 5.7354e-001	
 4.8151e-001	 3.2552e+004	 7.2226e-001	
 5.8105e-001	 3.7036e+004	 8.7158e-001	
 6.8099e-001	 4.1183e+004	 1.0215e+000	
 7.8346e-001	 4.5153e+004	 1.1752e+000	
 9.9181e-001	 5.2619e+004	 1.4877e+000	
 1.2040e+000	 5.9748e+004	 1.8061e+000	
 1.4225e+000	 6.6935e+004	 2.1337e+000	
 1.7603e+000	 7.8423e+004	 2.6404e+000	
 1.0901e-001	 8.5530e+003	 1.6352e-001	
 2.2050e-001	 1.6428e+004	 3.3075e-001	
 4.4439e-001	 2.9838e+004	 6.6659e-001	
 6.7393e-001	 4.0508e+004	 1.0109e+000	
 9.0696e-001	 4.9921e+004	 1.3604e+000	
 1.1480e+000	 5.9224e+004	 1.7220e+000	
 1.3927e+000	 6.8861e+004	 2.0891e+000	
 1.6434e+000	 7.9541e+004	 2.4652e+000	
 1.8979e+000	 9.1880e+004	 2.8469e+000	
 2.1585e+000	 1.0690e+005	 3.2378e+000	
 4.6004e-002	 3.6920e+003	 1.0314e-001	
 9.3035e-002	 6.2193e+003	 1.8775e-001	
 1.8835e-001	 1.0426e+004	 3.3970e-001	
 2.8596e-001	 1.4111e+004	 4.7905e-001	
 3.8592e-001	 1.7501e+004	 6.0992e-001	
 4.8823e-001	 2.0566e+004	 7.3434e-001	
 5.9295e-001	 2.2421e+004	 8.5357e-001	
 7.0104e-001	 2.4059e+004	 9.6945e-001	
 8.1066e-001	 2.5511e+004	 1.0806e+000	
 1.0393e+000	 2.8087e+004	 1.2953e+000	

 9.3300e-002	 6.7846e+003	 1.7708e-001	
 1.8750e-001	 1.2381e+004	 3.4388e-001	
 2.8350e-001	 1.6986e+004	 5.0514e-001	
 3.8040e-001	 2.0948e+004	 6.6096e-001	
 4.8000e-001	 2.4448e+004	 8.1525e-001	
 5.8080e-001	 2.7503e+004	 9.6639e-001	
 6.8310e-001	 3.0077e+004	 1.1155e+000	
 7.8750e-001	 3.1886e+004	 1.2637e+000	
 8.9370e-001	 3.3428e+004	 1.4112e+000	
