        cell	          Cl	         Sua	         Hfo	         Sub	   Sorbedhfo	
 1.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 2.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 3.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 5.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 6.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 7.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 1.0000e+000	 4.9952e-001	 4.9987e-001	 9.9950e-001	 9.9950e-001	 0.0000e+000	
 5.0000e+000	 5.0033e-001	 4.9983e-001	 4.9998e-004	 4.9998e-004	 0.0000e+000	
 2.0000e+000	 1.5016e-004	 1.5001e-004	 2.9985e-007	 2.9985e-007	 0.0000e+000	
 6.0000e+000	 1.5014e-004	 1.4999e-004	 1.5000e-010	 1.4999e-010	 0.0000e+000	
 3.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 7.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 1.0000e+000	 7.4966e-001	 4.9995e-001	 9.9943e-001	 1.0000e+000	 4.9975e-001	
 5.0000e+000	 7.5056e-001	 4.9990e-001	 7.4980e-004	 5.0033e-001	 2.4999e-004	
 2.0000e+000	 2.4961e-001	 7.5081e-005	 4.9957e-001	 1.4994e+000	 1.4993e-007	
 6.0000e+000	 2.5051e-001	 7.5074e-005	 2.4990e-004	 1.4999e-004	 7.5000e-011	
 3.0000e+000	 1.5013e-004	 1.4997e-012	 2.9970e-007	 1.5031e-004	 0.0000e+000	
 7.0000e+000	 1.5026e-004	 1.4996e-012	 1.4993e-010	 1.0000e-022	 0.0000e+000	
 1.0000e+000	 8.7480e-001	 4.9987e-001	 9.9950e-001	 1.0000e+000	 9.9946e-001	
 5.0000e+000	 8.7574e-001	 4.9983e-001	 8.7469e-004	 1.0002e+000	 6.2489e-004	
 2.0000e+000	 4.9888e-001	 1.5001e-004	 4.9943e-001	 1.4999e+000	 2.4979e-001	
 6.0000e+000	 4.9969e-001	 1.5000e-004	 3.7471e-004	 2.2507e-004	 1.2495e-004	
 3.0000e+000	 1.2457e-001	 7.5072e-013	 2.4970e-001	 1.4994e+000	 1.4985e-007	
 7.0000e+000	 1.2564e-001	 7.5065e-013	 1.2491e-004	 1.4996e-012	 7.4963e-011	
 1.0000e+000	 9.3733e-001	 4.9987e-001	 9.9950e-001	 1.0000e+000	 1.4992e+000	
 5.0000e+000	 9.3830e-001	 4.9983e-001	 9.3710e-004	 1.5001e+000	 1.0622e-003	
 2.0000e+000	 6.8830e-001	 1.5001e-004	 4.9950e-001	 1.4999e+000	 4.9950e-001	
 6.0000e+000	 6.8950e-001	 1.5000e-004	 4.3713e-004	 3.7506e-004	 3.1231e-004	
 3.0000e+000	 3.1170e-001	 1.4997e-012	 2.4959e-001	 1.5001e+000	 1.2485e-001	
 7.0000e+000	 3.1228e-001	 1.4996e-012	 1.8727e-004	 2.2502e-012	 6.2454e-005	
