        days	      Tracer	          Fe	
 5.0000e-002	 1.0003e-010	 1.0882e-015	
 1.5000e-001	 3.7008e-008	 1.0882e-015	
 2.5000e-001	 2.2736e-006	 1.0888e-015	
 3.5000e-001	 5.5031e-005	 1.0958e-015	
 4.5000e-001	 6.9515e-004	 1.1588e-015	
 5.5000e-001	 5.2705e-003	 1.5415e-015	
 6.5000e-001	 2.6073e-002	 3.0735e-015	
 7.5000e-001	 8.9133e-002	 6.5574e-015	
 8.5000e-001	 2.2068e-001	 9.2129e-015	
 9.5000e-001	 4.1445e-001	 1.0169e-014	
 1.0500e+000	 6.2203e-001	 1.1560e-014	
 1.1500e+000	 7.9042e-001	 1.7269e-014	
 1.2500e+000	 8.9896e-001	 6.0476e-004	
 1.3500e+000	 9.5697e-001	 2.2228e-003	
 1.4500e+000	 9.8356e-001	 5.3929e-003	
 1.5500e+000	 9.9429e-001	 1.0776e-002	
 1.6500e+000	 9.9818e-001	 1.9137e-002	
 1.7500e+000	 9.9946e-001	 3.1310e-002	
 1.8500e+000	 9.9985e-001	 4.8164e-002	
 1.9500e+000	 9.9996e-001	 7.0558e-002	
 2.0500e+000	 9.9999e-001	 9.9309e-002	
 2.1500e+000	 1.0000e+000	 1.3515e-001	
 2.2500e+000	 1.0000e+000	 1.7871e-001	
 2.3500e+000	 1.0000e+000	 2.3048e-001	
 2.4500e+000	 1.0000e+000	 2.9081e-001	
 2.5500e+000	 1.0000e+000	 3.5987e-001	
 2.6500e+000	 1.0000e+000	 4.3770e-001	
 2.7500e+000	 1.0000e+000	 5.2413e-001	
 2.8500e+000	 1.0000e+000	 6.1889e-001	
 2.9500e+000	 1.0000e+000	 7.2153e-001	
 3.0500e+000	 1.0000e+000	 8.3150e-001	
 5.0000e-002	 0.0000e+000	 0.0000e+000	
 5.0000e-002	 1.0000e+000	 8.3150e-001	
 1.5000e-001	 1.0000e-001	 1.3471e-015	
 2.5000e-001	 1.0001e-002	 1.1311e-015	
 3.5000e-001	 1.0001e-003	 1.0952e-015	
 4.5000e-001	 1.0001e-004	 1.0896e-015	
 5.5000e-001	 1.0001e-005	 1.0885e-015	
 6.5000e-001	 1.0002e-006	 1.0882e-015	
 7.5000e-001	 1.0002e-007	 1.0882e-015	
 8.5000e-001	 1.0002e-008	 1.0882e-015	
 9.5000e-001	 1.0002e-009	 1.0882e-015	
 1.0500e+000	 1.0003e-010	 1.0882e-015	
 5.0000e-002	 1.0003e-010	 1.0882e-015	
 1.5000e-001	 3.7008e-008	 1.0882e-015	
 2.5000e-001	 2.2736e-006	 1.0883e-015	
 3.5000e-001	 5.5031e-005	 1.0894e-015	
 4.5000e-001	 6.9515e-004	 1.0995e-015	
 5.5000e-001	 5.2705e-003	 1.1718e-015	
 6.5000e-001	 2.6073e-002	 1.5266e-015	
 7.5000e-001	 8.9133e-002	 2.6588e-015	
 8.5000e-001	 2.2068e-001	 4.6601e-015	
 9.5000e-001	 4.1445e-001	 6.0171e-015	
 1.0500e+000	 6.2203e-001	 6.7230e-015	
 1.1500e+000	 7.9042e-001	 7.9068e-015	
 1.2500e+000	 8.9896e-001	 1.1020e-014	
 1.3500e+000	 9.5697e-001	 9.0933e-005	
 1.4500e+000	 9.8356e-001	 5.5791e-004	
 1.5500e+000	 9.9429e-001	 1.6522e-003	
 1.6500e+000	 9.9818e-001	 3.7088e-003	
 1.7500e+000	 9.9946e-001	 7.1462e-003	
 1.8500e+000	 9.9985e-001	 1.2460e-002	
 1.9500e+000	 9.9996e-001	 2.0210e-002	
 2.0500e+000	 9.9999e-001	 3.1003e-002	
 2.1500e+000	 1.0000e+000	 4.5475e-002	
 2.2500e+000	 1.0000e+000	 6.4269e-002	
