        cell	          pH	          pe	          O2	           A	          A+	          A-	          cb	






 1.0000e+000	 6.9997e+000	 1.1228e+001	 6.7693e-011	 3.8259e-001	 3.8259e+000	 3.8259e+000	-1.8761e-017	
 4.0000e+000	 6.9997e+000	 1.1272e+001	 1.0165e-010	 2.8356e-001	 2.8356e+000	 2.8356e+000	 1.5748e-019	
 6.0000e+000	 6.9996e+000	 1.1271e+001	 1.0077e-010	 2.4023e-001	 2.4023e+000	 2.4023e+000	 1.0755e-018	
 8.0000e+000	 6.9996e+000	 1.1271e+001	 1.0050e-010	 2.6271e-001	 2.6271e+000	 2.6271e+000	 8.6531e-019	
 2.0000e+000	 6.9997e+000	 1.1251e+001	 8.3440e-011	 6.3649e-002	 6.3649e-001	 6.3649e-001	-2.4791e-018	
 5.0000e+000	 6.9997e+000	 1.1247e+001	 8.0671e-011	 4.7270e-002	 4.7270e-001	 4.7270e-001	-5.5768e-019	









 1.0000e+000	 6.9997e+000	 1.1309e+001	 1.4313e-010	 2.5457e-001	 2.5457e+000	 2.5457e+000	-8.4085e-018	
 4.0000e+000	 6.9997e+000	 1.1325e+001	 1.6475e-010	 1.8363e-001	 1.8363e+000	 1.8363e+000	-6.1235e-018	
 6.0000e+000	 6.9997e+000	 1.1334e+001	 1.7999e-010	 1.5309e-001	 1.5309e+000	 1.5309e+000	-1.8411e-018	
 8.0000e+000	 6.9997e+000	 1.1327e+001	 1.6811e-010	 1.6864e-001	 1.6864e+000	 1.6864e+000	-5.9423e-018	
 2.0000e+000	 6.9997e+000	 1.1274e+001	 1.0320e-010	 2.6726e-002	 2.6726e-001	 2.6726e-001	 1.1686e-019	
 5.0000e+000	 6.9998e+000	 1.1269e+001	 9.8895e-011	 1.9058e-002	 1.9058e-001	 1.9058e-001	 5.5110e-019	
