     conc_Cl	       EC_20	           I	
 6.9724e-002	 8.2223e+003	 6.9724e-002	
 1.3983e-001	 1.5847e+004	 1.3983e-001	
 2.1173e-001	 2.3378e+004	 2.1173e-001	
 2.8404e-001	 3.0767e+004	 2.8404e-001	
 3.5818e-001	 3.8209e+004	 3.5818e-001	
 4.3131e-001	 4.4378e+004	 4.3131e-001	
 5.0630e-001	 5.0278e+004	 5.0630e-001	
 5.8318e-001	 5.5954e+004	 5.8318e-001	
 7.3684e-001	 6.6326e+004	 7.3684e-001	
 8.9529e-001	 7.5885e+004	 8.9529e-001	
 1.0572e+000	 8.4677e+004	 1.0572e+000	
 1.1404e+000	 8.8868e+004	 1.1404e+000	
 8.8884e-002	 8.7554e+003	 8.8884e-002	
 1.7992e-001	 1.7065e+004	 1.7992e-001	
 2.6954e-001	 2.5007e+004	 2.6954e-001	
 3.6134e-001	 3.2999e+004	 3.6134e-001	
 4.5533e-001	 3.9951e+004	 4.5533e-001	
 5.4972e-001	 4.6515e+004	 5.4972e-001	
 6.4452e-001	 5.2762e+004	 6.4452e-001	
 7.2139e-001	 5.7616e+004	 7.2139e-001	
 9.1659e-001	 6.9277e+004	 9.1659e-001	
 1.0967e+000	 7.9425e+004	 1.0967e+000	
 1.4671e+000	 9.9318e+004	 1.4671e+000	
 1.8110e+000	 1.1758e+005	 1.8110e+000	
 9.3483e-002	 8.6500e+003	 1.4022e-001	
 1.8941e-001	 1.6534e+004	 2.8411e-001	
 2.8570e-001	 2.3823e+004	 4.2855e-001	
 3.8236e-001	 3.0347e+004	 5.7354e-001	
 4.8151e-001	 3.6632e+004	 7.2226e-001	
 5.8105e-001	 4.1678e+004	 8.7158e-001	
 6.8099e-001	 4.6345e+004	 1.0215e+000	
 7.8346e-001	 5.0812e+004	 1.1752e+000	
 9.9181e-001	 5.9214e+004	 1.4877e+000	
 1.2040e+000	 6.7237e+004	 1.8061e+000	
 1.4225e+000	 7.5324e+004	 2.1337e+000	
 1.7603e+000	 8.8253e+004	 2.6404e+000	
 1.0901e-001	 9.6250e+003	 1.6352e-001	
 2.2050e-001	 1.8487e+004	 3.3075e-001	
 4.4439e-001	 3.3578e+004	 6.6659e-001	
 6.7393e-001	 4.5585e+004	 1.0109e+000	
 9.0696e-001	 5.6178e+004	 1.3604e+000	
 1.1480e+000	 6.6647e+004	 1.7220e+000	
 1.3927e+000	 7.7492e+004	 2.0891e+000	
 1.6434e+000	 8.9510e+004	 2.4652e+000	
 1.8979e+000	 1.0340e+005	 2.8469e+000	
 2.1585e+000	 1.2030e+005	 3.2378e+000	
 4.6004e-002	 4.1548e+003	 1.0314e-001	
 9.3035e-002	 6.9988e+003	 1.8775e-001	
 1.8835e-001	 1.1733e+004	 3.3970e-001	
 2.8596e-001	 1.5880e+004	 4.7905e-001	
 3.8592e-001	 1.9695e+004	 6.0992e-001	
 4.8823e-001	 2.3144e+004	 7.3434e-001	
 5.9295e-001	 2.5232e+004	 8.5357e-001	
 7.0104e-001	 2.7074e+004	 9.6945e-001	
 8.1066e-001	 2.8708e+004	 1.0806e+000	
 1.0393e+000	 3.1608e+004	 1.2953e+000	

 9.3300e-002	 7.6350e+003	 1.7708e-001	
 1.8750e-001	 1.3933e+004	 3.4388e-001	
 2.8350e-001	 1.9115e+004	 5.0514e-001	
 3.8040e-001	 2.3573e+004	 6.6096e-001	
 4.8000e-001	 2.7512e+004	 8.1525e-001	
 5.8080e-001	 3.0950e+004	 9.6639e-001	
 6.8310e-001	 3.3847e+004	 1.1155e+000	
 7.8750e-001	 3.5883e+004	 1.2637e+000	
 8.9370e-001	 3.7617e+004	 1.4112e+000	
