        dist	          Cl	        Su_a	        Su_b	       Hfo_w	       Hfo_s	
 5.0000e-001	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 1.5000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 2.5000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 3.5000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 5.0000e-001	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 1.5000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 2.5000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 3.5000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 5.0000e-001	 4.6803e-001	 4.6803e-001	 4.6803e-001	 0.0000e+000	 0.0000e+000	
 5.0000e-001	 4.6803e-001	 4.6803e-001	 4.6803e-001	 0.0000e+000	 0.0000e+000	
 1.5000e+000	 3.1291e-002	 3.1292e-002	 3.1292e-002	 0.0000e+000	 0.0000e+000	
 1.5000e+000	 3.1292e-002	 3.1292e-002	 3.1292e-002	 0.0000e+000	 0.0000e+000	
 2.5000e+000	 6.7127e-004	 6.7130e-004	 6.7130e-004	 0.0000e+000	 0.0000e+000	
 2.5000e+000	 6.7134e-004	 6.7130e-004	 6.7130e-004	 0.0000e+000	 0.0000e+000	
 3.5000e+000	 4.6297e-006	 4.6296e-006	 4.6296e-006	 0.0000e+000	 0.0000e+000	
 3.5000e+000	 4.6297e-006	 4.6296e-006	 4.6296e-006	 0.0000e+000	 0.0000e+000	
 5.0000e-001	 7.0976e-001	 7.0955e-001	 7.0955e-001	 0.0000e+000	 0.0000e+000	
 5.0000e-001	 7.0935e-001	 7.0955e-001	 7.0955e-001	 0.0000e+000	 0.0000e+000	
 1.5000e+000	 2.5939e-001	 2.5922e-001	 2.5922e-001	 0.0000e+000	 0.0000e+000	
 1.5000e+000	 2.5905e-001	 2.5922e-001	 2.5922e-001	 0.0000e+000	 0.0000e+000	
 2.5000e+000	 2.9683e-002	 2.9596e-002	 2.9596e-002	 0.0000e+000	 0.0000e+000	
 2.5000e+000	 2.9509e-002	 2.9596e-002	 2.9596e-002	 0.0000e+000	 0.0000e+000	
 3.5000e+000	 1.6424e-003	 1.6297e-003	 1.6297e-003	 0.0000e+000	 0.0000e+000	
 3.5000e+000	 1.6143e-003	 1.6297e-003	 1.6297e-003	 0.0000e+000	 0.0000e+000	
 5.0000e-001	 8.0984e-001	 8.3777e-001	 8.3777e-001	 0.0000e+000	 0.0000e+000	
 5.0000e-001	 8.6594e-001	 8.3777e-001	 8.3777e-001	 0.0000e+000	 0.0000e+000	
 1.5000e+000	 4.5181e-001	 4.8281e-001	 4.8281e-001	 0.0000e+000	 0.0000e+000	
 1.5000e+000	 5.1324e-001	 4.8281e-001	 4.8281e-001	 0.0000e+000	 0.0000e+000	
 2.5000e+000	 1.3061e-001	 1.5485e-001	 1.5485e-001	 0.0000e+000	 0.0000e+000	
 2.5000e+000	 1.7880e-001	 1.5485e-001	 1.5485e-001	 0.0000e+000	 0.0000e+000	
 3.5000e+000	 1.4300e-002	 2.3749e-002	 2.3749e-002	 0.0000e+000	 0.0000e+000	
 3.5000e+000	 3.3805e-002	 2.3749e-002	 2.3749e-002	 0.0000e+000	 0.0000e+000	
