           x	          pH	          pe	          O2	           A	          A+	          A-	     water-1	










 1.5000e-001	 7.0000e+000	 1.1577e+001	 1.6860e-009	 9.9636e-001	 9.9636e+000	 9.9636e+000	 2.8333e-013	
 4.5000e-001	 7.0000e+000	 1.1567e+001	 1.5376e-009	 9.8119e-001	 9.8120e+000	 9.8119e+000	 1.6167e-012	
 7.5000e-001	 7.0000e+000	 1.1553e+001	 1.3564e-009	 9.3202e-001	 9.3202e+000	 9.3202e+000	 6.0338e-012	
 1.0500e+000	 7.0000e+000	 1.1537e+001	 1.1625e-009	 8.1556e-001	 8.1556e+000	 8.1556e+000	 1.7065e-011	
 1.3500e+000	 6.9999e+000	 1.1512e+001	 9.2446e-010	 6.1585e-001	 6.1585e+000	 6.1585e+000	 3.8329e-011	
 1.6500e+000	 6.9998e+000	 1.1483e+001	 7.0682e-010	 3.7666e-001	 3.7666e+000	 3.7666e+000	-1.1946e-010	
 1.9500e+000	 6.9997e+000	 1.1447e+001	 5.0633e-010	 1.8243e-001	 1.8243e+000	 1.8243e+000	-8.3939e-011	
 2.2500e+000	 6.9996e+000	 1.1405e+001	 3.4396e-010	 7.0503e-002	 7.0502e-001	 7.0502e-001	-5.2173e-011	
 2.5500e+000	 6.9996e+000	 1.1355e+001	 2.1802e-010	 2.2228e-002	 2.2227e-001	 2.2227e-001	-2.8677e-011	
 2.8500e+000	 6.9996e+000	 1.1318e+001	 1.5533e-010	 6.6389e-003	 6.6377e-002	 6.6382e-002	-1.4825e-011	












 1.5000e-001	 7.0000e+000	-1.7848e+000	 0.0000e+000	 9.9987e-001	 9.9987e+000	 9.9987e+000	-1.3323e-014	
 4.5000e-001	 7.0000e+000	-1.7103e+000	 0.0000e+000	 9.9730e-001	 9.9730e+000	 9.9730e+000	-2.7800e-013	
 7.5000e-001	 7.0000e+000	-1.5293e+000	 0.0000e+000	 9.7608e-001	 9.7608e+000	 9.7608e+000	-2.4487e-012	
 1.0500e+000	 6.9999e+000	 1.1046e+001	 1.2693e-011	 8.8349e-001	 8.8349e+000	 8.8349e+000	-1.1637e-011	
 1.3500e+000	 6.9998e+000	 1.1377e+001	 2.6762e-010	 6.5586e-001	 6.5586e+000	 6.5586e+000	-3.1796e-011	
 1.6500e+000	 6.9997e+000	 1.1095e+001	 1.9919e-011	 3.4414e-001	 3.4414e+000	 3.4414e+000	-5.0198e-011	
 1.9500e+000	 6.9997e+000	 1.1006e+001	 8.7727e-012	 1.1651e-001	 1.1651e+000	 1.1651e+000	-4.6583e-011	
 2.2500e+000	 6.9998e+000	 1.0992e+001	 7.7059e-012	 2.3921e-002	 2.3920e-001	 2.3920e-001	-2.6892e-011	
 2.5500e+000	 6.9998e+000	 1.0949e+001	 5.1670e-012	 2.7016e-003	 2.7007e-002	 2.7007e-002	-9.7526e-012	
 2.8500e+000	 6.9998e+000	 1.0962e+001	 5.8281e-012	 1.2960e-004	 1.2870e-003	 1.2870e-003	-1.7900e-012	
