        dist	          Cl	        Su_a	        Su_b	       Hfo_w	       Hfo_s	
 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 5.0000e-001	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 1.5000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 2.5000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 3.5000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 5.0000e-001	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 1.5000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 2.5000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 3.5000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 5.0000e-001	 5.0125e-001	 5.0125e-001	 5.0125e-001	 0.0000e+000	 0.0000e+000	
 5.0000e-001	 5.0125e-001	 5.0125e-001	 5.0125e-001	 0.0000e+000	 0.0000e+000	
 1.5000e+000	 4.7500e-002	 4.7500e-002	 4.7500e-002	 0.0000e+000	 0.0000e+000	
 1.5000e+000	 4.7500e-002	 4.7500e-002	 4.7500e-002	 0.0000e+000	 0.0000e+000	
 2.5000e+000	 1.2500e-003	 1.2500e-003	 1.2500e-003	 0.0000e+000	 0.0000e+000	
 2.5000e+000	 1.2500e-003	 1.2500e-003	 1.2500e-003	 0.0000e+000	 0.0000e+000	
 3.5000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 3.5000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 5.0000e-001	 7.4529e-001	 7.4529e-001	 7.4529e-001	 0.0000e+000	 0.0000e+000	
 5.0000e-001	 7.4529e-001	 7.4529e-001	 7.4529e-001	 0.0000e+000	 0.0000e+000	
 1.5000e+000	 2.8697e-001	 2.8697e-001	 2.8697e-001	 0.0000e+000	 0.0000e+000	
 1.5000e+000	 2.8697e-001	 2.8697e-001	 2.8697e-001	 0.0000e+000	 0.0000e+000	
 2.5000e+000	 4.0077e-002	 4.0077e-002	 4.0077e-002	 0.0000e+000	 0.0000e+000	
 2.5000e+000	 4.0077e-002	 4.0077e-002	 4.0077e-002	 0.0000e+000	 0.0000e+000	
 3.5000e+000	 2.4672e-003	 2.4672e-003	 2.4672e-003	 0.0000e+000	 0.0000e+000	
 3.5000e+000	 2.4672e-003	 2.4672e-003	 2.4672e-003	 0.0000e+000	 0.0000e+000	
 5.0000e-001	 8.6695e-001	 8.6695e-001	 8.6695e-001	 0.0000e+000	 0.0000e+000	
 5.0000e-001	 8.6695e-001	 8.6695e-001	 8.6695e-001	 0.0000e+000	 0.0000e+000	
 1.5000e+000	 5.1439e-001	 5.1439e-001	 5.1439e-001	 0.0000e+000	 0.0000e+000	
 1.5000e+000	 5.1439e-001	 5.1439e-001	 5.1439e-001	 0.0000e+000	 0.0000e+000	
 2.5000e+000	 1.7396e-001	 1.7396e-001	 1.7396e-001	 0.0000e+000	 0.0000e+000	
 2.5000e+000	 1.7396e-001	 1.7396e-001	 1.7396e-001	 0.0000e+000	 0.0000e+000	
 3.5000e+000	 2.8205e-002	 2.8205e-002	 2.8205e-002	 0.0000e+000	 0.0000e+000	
 3.5000e+000	 2.8205e-002	 2.8205e-002	 2.8205e-002	 0.0000e+000	 0.0000e+000	
